Original Word,Chosen,Option 1 Title,Option 1 Path,Option 1 URL,Option 2 Title,Option 2 Path,Option 2 URL,Option 3 Title,Option 3 Path,Option 3 URL
我,1,ストーマ用装具を付けた女性のイラスト（2カット）,images\我-1.png,https://illustkun.com/08289-20240627-b/,ストーマ用装具を付けた男性のイラスト（2カット）,images\我-2.png,https://illustkun.com/08286-20240626-a/,腹痛のイラスト（男性）（2カット）,images\我-3.png,https://illustkun.com/08084-20240307-a/
你,1,イラストくん,images\你-1.png,https://illustkun.com/,N/A,N/A,N/A,N/A,N/A,N/A
他,1,まな板他のイラスト（木製）,images\他-1.png,https://illustkun.com/cutting-board/,柔道のイラスト（女子）（2キャラ）,images\他-2.png,https://illustkun.com/09012-20260403-a/,柔道のイラスト（男子）（2キャラ）,images\他-3.png,https://illustkun.com/09011-20260402-b/
她,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
我们,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
这,1,ミントチョコレートのイラスト（板チョコ）（2カット）,images\这-1.png,https://illustkun.com/06750-20220627-b/,ホワイトチョコレートのイラスト（板チョコ）（2カット）,images\这-2.png,https://illustkun.com/06748-20220626-b/,チョコレートのイラスト（板チョコ）（3カット）,images\这-3.png,https://illustkun.com/06745-20220625-b/
那,1,香水の匂いが強い女性のイラスト（電車）,images\那-1.png,https://illustkun.com/08178-20240425-a/,フェイスパックをする男性のイラスト（2カット）,images\那-2.png,https://illustkun.com/08064-20240223-b/,フェイスパックをする女性のイラスト（2カット）,images\那-3.png,https://illustkun.com/08062-20240222-b/
哪,1,カラードレスを着た女性のイラスト（4カラー）,images\哪-1.png,https://illustkun.com/08901-20250831-a/,積んだスタッドレスタイヤのイラスト（2カット）,images\哪-2.png,https://illustkun.com/07930-20231210-b/,スタッドレスタイヤのイラスト,images\哪-3.png,https://illustkun.com/07926-20231207-a/
哪儿,1,シュノーケルとゴーグルのイラスト（3カラー）,images\哪儿-1.png,https://illustkun.com/08876-20250804-b/,トコジラミのイラスト,images\哪儿-2.png,https://illustkun.com/08097-20240316-a/,カセットコンロのイラスト（2カラー）,images\哪儿-3.png,https://illustkun.com/07697-20230819-a/
谁,1,忍者のイラスト,images\谁-1.png,https://illustkun.com/ninja/,プラバシーポリシー,images\谁-2.png,https://illustkun.com/privacy-policy/,N/A,N/A,N/A
什么,1,空の冷蔵庫のイラスト（2カラー）,images\什么-1.png,https://illustkun.com/08389-20240826-a/,パックに入った牛バラ肉のイラスト（2カット）,images\什么-2.png,https://illustkun.com/beef-4/,三徳包丁のイラスト（万能包丁）（2カット）,images\什么-3.png,https://illustkun.com/kitchen-knife/
多少,1,イクラのイラスト,images\多少-1.png,https://illustkun.com/ikura/,お寿司のイラスト（イクラ）（2カット）,images\多少-2.png,https://illustkun.com/sushi-ikura/,バイキンのキャラクターのイラスト（ウィルス）,images\多少-3.png,https://illustkun.com/virus/
几,1,クラッカーのイラスト（パーティーグッズ）,images\几-1.png,https://illustkun.com/party-popper/,N/A,N/A,N/A,N/A,N/A,N/A
怎么,1,スマートウォッチのイラスト（丸型）（3パターン）,images\怎么-1.png,https://illustkun.com/07831-20231021-c/,スマートウォッチのイラスト（3パターン）,images\怎么-2.png,https://illustkun.com/07826-20231019-a/,アイシャドウのイラスト（コスメ・化粧品）（2カラー）,images\怎么-3.png,https://illustkun.com/06394-20211230-a/
怎么样,1,学校のイラスト（机）,images\怎么样-1.png,https://illustkun.com/desk/,さんすうの教科書のイラスト（参考書）,images\怎么样-2.png,https://illustkun.com/textbook/,こくごの教科書のイラスト（参考書）,images\怎么样-3.png,https://illustkun.com/textbook-2/
每,1,体重計に乗る男性のイラスト（ヘルスメーター）,images\每-1.png,https://illustkun.com/man-scales/,ヘルスメーターに乗る女性のイラスト（体重計）,images\每-2.png,https://illustkun.com/woman-scales-2/,ヘルスメーターのイラスト（体重計）,images\每-3.png,https://illustkun.com/scales-2/
是,1,箸でスープを食べるイラスト（女の子）,images\是-1.png,https://illustkun.com/08377-20240815-a/,箸でスープを食べるイラスト（男の子）,images\是-2.png,https://illustkun.com/08376-20240814-a/,指でハートのイラスト（キュンです）,images\是-3.png,https://illustkun.com/finger-heart/
有,1,自転車に乗る女子学生のイラスト（ヘルメット有無）（2カット）,images\有-1.png,https://illustkun.com/bicycle-6/,自転車に乗る男子学生のイラスト（ヘルメット有無）（2カット）,images\有-2.png,https://illustkun.com/bicycle-5/,柿のイラスト（富有柿）,images\有-3.png,https://illustkun.com/persimmon/
看,1,お辞儀のイラスト（女性・看護師）（2カット）,images\看-1.png,https://illustkun.com/nurse-bow/,看病するイラスト（女性・ママ）,images\看-2.png,https://illustkun.com/nursing-2/,看病するイラスト（男性・パパ）,images\看-3.png,https://illustkun.com/nursing/
听,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
说话,1,話すイラスト（会話・おばあさん2）（2カット）,images\说话-1.png,https://illustkun.com/talk-old-woman-2/,話すイラスト（会話・おばあさん）（2カット）,images\说话-2.png,https://illustkun.com/talk-old-woman/,話すイラスト（会話・おじいさん2）（2カット）,images\说话-3.png,https://illustkun.com/talk-old-man-2/
读,1,節分のイラスト（柊鰯）,images\读-1.png,https://illustkun.com/hiiragiiwashi/,N/A,N/A,N/A,N/A,N/A,N/A
写,1,集合写真のイラスト（小学生）（2カット）,images\写-1.png,https://illustkun.com/07628-20230723-a/,名刺（写真入り）のイラスト（2カット）,images\写-2.png,https://illustkun.com/07350-20230413-a/,書写の教科書のイラスト（参考書）,images\写-3.png,https://illustkun.com/textbook-9/
看见,1,国旗ポールのイラスト（ナミビア）（2パターン）,images\看见-1.png,https://illustkun.com/09016-20260414-a/,国旗ポールのイラスト（ナイジェリア）（2パターン）,images\看见-2.png,https://illustkun.com/09015-20260409-b/,国旗ポールのイラスト（トーゴ）（2パターン）,images\看见-3.png,https://illustkun.com/08985-20260216-a/
叫,1,呼ぶイラスト（叫ぶ）,images\叫-1.png,https://illustkun.com/call/,N/A,N/A,N/A,N/A,N/A,N/A
来,1,うま年の年賀状用イラスト特集,images\来-1.png,https://illustkun.com/nenga-uma/,へび年の年賀状用イラスト特集,images\来-2.png,https://illustkun.com/nenga-mi/,たつ年の年賀状用イラスト特集,images\来-3.png,https://illustkun.com/nenga-tatsu/
回,1,目が回るイラスト（女の子）（2キャラ）,images\回-1.png,https://illustkun.com/08781-20250516-b/,目が回るイラスト（男の子）（2キャラ）,images\回-2.png,https://illustkun.com/08779-20250515-b/,道路標識のイラスト（回転禁止）,images\回-3.png,https://illustkun.com/road-sign-7/
去,1,遠足のイラスト（体操服）（3カット）,images\去-1.png,https://illustkun.com/picnic-kids-2/,遠足のイラスト（制服）（3カット）,images\去-2.png,https://illustkun.com/picnic-kids/,N/A,N/A,N/A
吃,1,ハンバーガーを食べるイラスト（女性）,images\吃-1.png,https://illustkun.com/07632-20230726-a/,ハンバーガーを食べるイラスト（男性）,images\吃-2.png,https://illustkun.com/07631-20230725-a/,お弁当を食べる女性のイラスト（OL）（2カット）,images\吃-3.png,https://illustkun.com/woman-eating/
喝,1,薬を飲む子供のイラスト（女子）（2カット）,images\喝-1.png,https://illustkun.com/08095-20240314-a/,薬を飲む子供のイラスト（男子）（2カット）,images\喝-2.png,https://illustkun.com/08094-20240313-b/,お茶を飲むイラスト（老人・女の子）,images\喝-3.png,https://illustkun.com/07112-20221223-a/
睡觉,1,二段ベッドで寝る女の子のイラスト,images\睡觉-1.png,https://illustkun.com/08139-20240405-a/,二段ベッドで寝る男の子のイラスト,images\睡觉-2.png,https://illustkun.com/08138-20240404-a/,こたつに潜って寝るイラスト,images\睡觉-3.png,https://illustkun.com/kotatsu-sleep-2/
做,1,雪だるまを作るイラスト（男の子）,images\做-1.png,https://illustkun.com/make-snowman-2/,雪だるまを作るイラスト（女の子）,images\做-2.png,https://illustkun.com/make-snowman/,虫歯を作るイラスト（ミュータンス菌）,images\做-3.png,https://illustkun.com/mutans-2/
买,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
开,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
坐,1,チャイルドシートに座る赤ちゃんのイラスト（2カット）,images\坐-1.png,https://illustkun.com/childseat-kids/,トイレに座る子供のイラスト（4カット）,images\坐-2.png,https://illustkun.com/toilet-kids-2/,おまるに座る赤ちゃんのイラスト（2カット）,images\坐-3.png,https://illustkun.com/toilet-kids/
住,1,洪水のイラスト（住宅）（2カット）,images\住-1.png,https://illustkun.com/08570-20241204-a/,地震のイラスト（住宅）（2カット）,images\住-2.png,https://illustkun.com/08569-20241203-b/,火事のイラスト（住宅）（2カット）,images\住-3.png,https://illustkun.com/08566-20241202-a/
学习,1,こたつで勉強するイラスト,images\学习-1.png,https://illustkun.com/kotatsu-study/,鉛筆を持つ子供のイラスト（2カット）,images\学习-2.png,https://illustkun.com/pencil-kids/,N/A,N/A,N/A
工作,1,図画工作の教科書のイラスト（参考書）,images\工作-1.png,https://illustkun.com/textbook-13/,消しゴムのイラスト（使いかけ）,images\工作-2.png,https://illustkun.com/06686-20220525-a/,磁石のイラスト（U型）（2カット）,images\工作-3.png,https://illustkun.com/magnet-2/
