Original Word,Option 1 Title,Option 1 URL,Option 1 Path,Option 2 Title,Option 2 URL,Option 2 Path,Option 3 Title,Option 3 URL,Option 3 Path
会う,織姫と彦星のイラスト（ゆめかわ）,https://www.irasutoya.com/2019/06/blog-post_37.html,images\会う-1.png,N/A,N/A,N/A,N/A,N/A,N/A
開ける,ペダルでフタを開けるゴミ箱のイラスト,https://www.irasutoya.com/2020/05/blog-post_664.html,images\開ける-1.png,窓のブラインドの開閉のイラスト,https://www.irasutoya.com/2018/12/blog-post_45.html,images\開ける-2.png,ドアを開ける・閉めるイラスト,https://www.irasutoya.com/2015/01/blog-post_966.html,images\開ける-3.png
遊ぶ,楽器で遊ぶ赤ちゃんのイラスト（ピアノ）,https://www.irasutoya.com/2019/10/blog-post_67.html,images\遊ぶ-1.png,楽器で遊ぶ赤ちゃんのイラスト（太鼓）,https://www.irasutoya.com/2019/10/blog-post_73.html,images\遊ぶ-2.png,据置型ゲーム機で遊ぶ子供達のイラスト,https://www.irasutoya.com/2014/01/blog-post_2526.html,images\遊ぶ-3.png
洗う,石鹸で手を洗う順番のイラスト,https://www.irasutoya.com/2016/10/blog-post_57.html,images\洗う-1.png,コップを洗うブラシのイラスト,https://www.irasutoya.com/2014/10/blog-post_87.html,images\洗う-2.png,いろいろな手洗いのイラスト,https://www.irasutoya.com/2016/01/blog-post_79.html,images\洗う-3.png
有る,道につばを吐く人のイラスト,https://www.irasutoya.com/2017/05/blog-post_442.html,images\有る-1.png,N/A,N/A,N/A,N/A,N/A,N/A
歩く,傘をさして歩く学生のイラスト（ブレザー）,https://www.irasutoya.com/2020/06/blog-post_678.html,images\歩く-1.png,傘をさして歩く学生のイラスト（学ラン・セーラー服）,https://www.irasutoya.com/2020/06/blog-post_838.html,images\歩く-2.png,傘をさして歩く人のイラスト,https://www.irasutoya.com/2020/06/blog-post_871.html,images\歩く-3.png
言う,「ご清聴ありがとうございました」と言う人のイラスト（男性）,https://www.irasutoya.com/2016/01/blog-post_46.html,images\言う-1.png,「ご清聴ありがとうございました」と言う人のイラスト（女性）,https://www.irasutoya.com/2016/01/blog-post_49.html,images\言う-2.png,「Merry Christmas」と言う人のイラスト（女性）,https://www.irasutoya.com/2018/05/merry-christmas.html,images\言う-3.png
行く,旅行に行く学生のイラスト（学ラン）,https://www.irasutoya.com/2017/08/blog-post_492.html,images\行く-1.png,旅行に行く学生のイラスト（ブレザー）,https://www.irasutoya.com/2017/08/blog-post_232.html,images\行く-2.png,旅行に行く若者のイラスト,https://www.irasutoya.com/2017/08/blog-post_285.html,images\行く-3.png
居る,保健室の先生のイラスト（男性）,https://www.irasutoya.com/2016/07/blog-post_980.html,images\居る-1.png,N/A,N/A,N/A,N/A,N/A,N/A
要る,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
