Original Word,Chosen,Option 1 Title,Option 1 Path,Option 1 URL,Option 2 Title,Option 2 Path,Option 2 URL,Option 3 Title,Option 3 Path,Option 3 URL
一,1,一人掛けソファーのイラスト（3カラー）,images\一-1.png,https://illustkun.com/06449-20220126-c/,一味唐辛子のイラスト（2カット）,images\一-2.png,https://illustkun.com/ichimi/,道路標識のイラスト（一時停止）,images\一-3.png,https://illustkun.com/road-sign-13/
右,1,右クリックするイラスト,images\右-1.png,https://illustkun.com/right-click/,金魚のイラスト（金魚鉢）,images\右-2.png,https://illustkun.com/goldfish-3/,視力検査のイラスト,images\右-3.png,https://illustkun.com/vision-test/
雨,1,天気のイラスト（虹・雨上がり）（2カット）,images\雨-1.png,https://illustkun.com/rainbow/,天気のイラスト（傘・雨）（2カット）,images\雨-2.png,https://illustkun.com/rain/,雨のイラスト,images\雨-3.png,https://illustkun.com/umbrella-4/
円,1,お年玉のイラスト（一万円札）（2カット）,images\円-1.png,https://illustkun.com/otoshidama-4/,おとし玉のイラスト（千円札）（2カット）,images\円-2.png,https://illustkun.com/otoshidama-3/,お年玉のイラスト（500円玉）（2カット）,images\円-3.png,https://illustkun.com/otoshidama-2/
王,1,電車のイラスト（京王9000系）,images\王-1.png,https://illustkun.com/08823-20250619-a/,電車のイラスト（京王5000系）,images\王-2.png,https://illustkun.com/08822-20250618-a/,国旗ポールのイラスト（ブータン王国）（2パターン）,images\王-3.png,https://illustkun.com/08153-20240413-b/
音,1,ヘッドホンからの音漏れのイラスト（電車）,images\音-1.png,https://illustkun.com/08179-20240426-a/,音楽を聴きながら踊る若者のイラスト（女性）,images\音-2.png,https://illustkun.com/woman-17/,音楽を聴きながら踊る若者のイラスト（男性）,images\音-3.png,https://illustkun.com/man-17/
下,1,机の下に隠れるイラスト（女の子）（2カット）,images\下-1.png,https://illustkun.com/07878-20231116-b/,机の下に隠れるイラスト（男の子）（2カット）,images\下-2.png,https://illustkun.com/07875-20231115-a/,下駄のイラスト（2カラー）,images\下-3.png,https://illustkun.com/07331-20230402-a/
火,1,手持ち花火のイラスト（女の子）（2キャラ）,images\火-1.png,https://illustkun.com/08870-20250729-b/,手持ち花火のイラスト（男の子）（2キャラ）,images\火-2.png,https://illustkun.com/08867-20250728-a/,火事のイラスト（住宅）（2カット）,images\火-3.png,https://illustkun.com/08566-20241202-a/
花,1,花束をわたすイラスト（女の子が男の子に）,images\花-1.png,https://illustkun.com/09003-20260308-a/,花束をわたすイラスト（男の子が女の子に）,images\花-2.png,https://illustkun.com/09002-20260307-a/,花苗と女性のイラスト（2カット）,images\花-3.png,https://illustkun.com/06957-20221014-a/
貝,1,ホタテ貝柱のイラスト,images\貝-1.png,https://illustkun.com/08588-20241219-a/,つぶ貝のイラスト,images\貝-2.png,https://illustkun.com/07336-20230404-a/,お寿司のイラスト（ホッキ貝）（2カット）,images\貝-3.png,https://illustkun.com/sushi-11/
学,1,入学式のイラスト,images\学-1.png,https://illustkun.com/09008-20260318-a/,会話のイラスト（男子小学生2人）,images\学-2.png,https://illustkun.com/08081-20240305-a/,会話のイラスト（女子小学生2人）,images\学-3.png,https://illustkun.com/08080-20240304-a/
気,1,元気な女の子のイラスト,images\気-1.png,https://illustkun.com/girl-5/,元気な毛髪のキャラクター,images\気-2.png,https://illustkun.com/hair/,元気な大腸のキャラクターイラスト（健康な臓器）,images\気-3.png,https://illustkun.com/large-intestine-2/
九,1,九芒星のイラスト（ナノグラム）（2カット×2カラー）,images\九-1.png,https://illustkun.com/06925-20220925-c/,勉強のイラスト（九九2・算数・女の子）（2カット）,images\九-2.png,https://illustkun.com/06893-20220914-b/,勉強のイラスト（九九・算数・女の子）（2カット）,images\九-3.png,https://illustkun.com/06888-20220912-a/
休,1,学校のイラスト（校舎）,images\休-1.png,https://illustkun.com/school/,カマキリのイラスト（2カット）,images\休-2.png,https://illustkun.com/mantis/,クワガタムシを捕まえた子供のイラスト（虫取り）（2カット）,images\休-3.png,https://illustkun.com/insect-collecting-kids-2/
玉,1,埼玉県の地図のイラスト（3パターン）,images\玉-1.png,https://illustkun.com/07096-20221218-a/,卵焼きのイラスト（厚焼き玉子・だし巻き）,images\玉-2.png,https://illustkun.com/06488-20220215-a/,お年玉のイラスト（3カット）,images\玉-3.png,https://illustkun.com/otoshidama/
